Rk,Team,Age,W,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,NRtg,Pace,FTr,3PAr,TS%,,eFG%,TOV%,ORB%,FT/FGA,,eFG%,TOV%,DRB%,FT/FGA,,Arena,Attend.,Attend./G
11,Phoenix Suns,29.5,46,36,46,36,1.93,-0.31,1.62,113.6,111.6,2,96,0.336,0.216,0.584,,0.545,14.4,27.7,0.25,,0.511,12.8,71.7,0.233,,US Airways Center,755302,18422
12,Atlanta Hawks*,25.8,47,35,46,36,1.57,0.13,1.7,109.3,107.6,1.7,89.6,0.323,0.253,0.546,,0.504,12.5,26,0.238,,0.494,13.2,71.6,0.21,,Philips Arena,686688,16748
13,New Orleans Hornets*,28.2,49,33,46,36,1.55,-0.14,1.41,108.7,107,1.7,87.8,0.288,0.24,0.548,,0.501,12.5,24.6,0.232,,0.496,13.2,74.9,0.23,,New Orleans Arena,695727,16969
14,Miami Heat*,25.6,43,39,42,40,0.26,0.23,0.49,107.8,107.6,0.2,89.9,0.282,0.245,0.54,,0.5,12.1,24.6,0.212,,0.501,14.5,72.9,0.251,,AmericanAirlines Arena,748778,18263
15,Philadelphia 76ers*,26.1,41,41,41,41,0.07,0.09,0.16,107.9,107.8,0.1,90,0.339,0.164,0.532,,0.485,13.4,31.3,0.253,,0.507,14.9,71.4,0.216,,Wachovia Center,647898,15802
16,Chicago Bulls*,24.9,41,41,40,42,-0.28,0.12,-0.16,108.4,108.7,-0.3,93.1,0.3,0.189,0.541,,0.493,13.3,28,0.239,,0.493,13.1,70.9,0.238,,United Center,868667,21187
17,Detroit Pistons*,28.2,39,43,40,42,-0.49,0.13,-0.36,107.4,108,-0.6,86.7,0.282,0.165,0.524,,0.483,11.7,27.9,0.212,,0.485,11.7,74,0.248,,The Palace of Auburn Hills,896971,21877
18,Indiana Pacers,26.5,36,46,38,44,-1.11,0.35,-0.76,108.1,109.2,-1.1,96.5,0.267,0.244,0.545,,0.501,13.1,25.4,0.215,,0.499,12.7,74.5,0.271,,Conseco Fieldhouse,581472,14182
19,Milwaukee Bucks,26.3,34,48,38,44,-1.09,0.21,-0.88,106.7,107.9,-1.2,92.6,0.306,0.208,0.531,,0.483,13.1,27.8,0.239,,0.503,15.6,74,0.315,,Bradley Center,630976,15390
20,Charlotte Bobcats,25.8,35,47,37,45,-1.27,0.07,-1.2,104.7,106.1,-1.4,88.3,0.312,0.213,0.536,,0.494,15.1,27.7,0.231,,0.498,14.4,73,0.229,,Time Warner Cable Arena,597548,14574
21,New York Knicks,25.7,32,50,34,48,-2.61,0.28,-2.33,108.1,110.8,-2.7,96.7,0.268,0.322,0.544,,0.503,12.9,24.4,0.21,,0.52,13,72.7,0.215,,Madison Square Garden (IV),790801,19288
22,New Jersey Nets,25.7,34,48,34,48,-2.44,0.13,-2.31,108.3,111,-2.7,89.9,0.303,0.265,0.543,,0.497,12.7,25.2,0.236,,0.509,13,73.5,0.272,,Izod Center,621062,15148
23,Toronto Raptors,27,33,49,33,49,-2.82,0.28,-2.54,107,110,-3,92,0.279,0.193,0.542,,0.494,12.8,24,0.23,,0.511,12.6,73.7,0.202,,Air Canada Centre,769707,18773
24,Golden State Warriors,25,29,53,31,51,-3.74,-0.06,-3.8,109.5,113.3,-3.8,98.2,0.339,0.209,0.549,,0.497,12.9,26.1,0.268,,0.508,12.9,68.1,0.251,,Oracle Arena,776660,18943
25,Minnesota Timberwolves,25.4,24,58,27,55,-4.91,0.18,-4.74,106.1,111.4,-5.3,91.6,0.289,0.227,0.526,,0.481,13.3,27.7,0.222,,0.515,12,75,0.254,,Target Center,595013,14513
