"year","round","game","home_team","away_team","home_score","away_score"
2020,"first",2,"Toronto Raptors","Brooklyn Nets",104,99
2020,"first",3,"Brooklyn Nets","Toronto Raptors",92,117
2020,"first",4,"Brooklyn Nets","Toronto Raptors",122,150
2020,"first",1,"Denver Nuggets","Utah Jazz",135,125
2020,"first",2,"Denver Nuggets","Utah Jazz",105,124
2020,"first",3,"Utah Jazz","Denver Nuggets",124,87
2020,"first",4,"Utah Jazz","Denver Nuggets",129,127
2020,"first",5,"Denver Nuggets","Utah Jazz",117,107
2020,"first",6,"Utah Jazz","Denver Nuggets",107,119
2020,"first",7,"Denver Nuggets","Utah Jazz",80,78
2020,"first",1,"Houston Rockets","Oklahoma City Thunder",123,108
2020,"first",2,"Houston Rockets","Oklahoma City Thunder",111,98
2020,"first",3,"Oklahoma City Thunder","Houston Rockets",119,107
2020,"first",4,"Oklahoma City Thunder","Houston Rockets",117,114
2020,"first",5,"Houston Rockets","Oklahoma City Thunder",114,80
2020,"first",6,"Oklahoma City Thunder","Houston Rockets",104,100
2020,"first",7,"Houston Rockets","Oklahoma City Thunder",104,102
2020,"first",1,"Los Angeles Clippers","Dallas Mavericks",118,110
2020,"first",2,"Los Angeles Clippers","Dallas Mavericks",114,127
2020,"first",3,"Dallas Mavericks","Los Angeles Clippers",122,130
2020,"first",4,"Dallas Mavericks","Los Angeles Clippers",135,133
2020,"first",5,"Los Angeles Clippers","Dallas Mavericks",154,111
2020,"first",6,"Dallas Mavericks","Los Angeles Clippers",97,111
2020,"first",1,"Los Angeles Lakers","Portland Trail Blazers",93,100
2020,"first",2,"Los Angeles Lakers","Portland Trail Blazers",111,88
2020,"first",3,"Portland Trail Blazers","Los Angeles Lakers",108,116
2020,"first",4,"Portland Trail Blazers","Los Angeles Lakers",115,135
2020,"first",5,"Los Angeles Lakers","Portland Trail Blazers",131,122
2019,"final",1,"Toronto Raptors","Golden State Warriors",118,109
2019,"final",2,"Toronto Raptors","Golden State Warriors",104,109
2019,"final",3,"Golden State Warriors","Toronto Raptors",109,123
2019,"final",4,"Golden State Warriors","Toronto Raptors",92,105
2019,"final",5,"Toronto Raptors","Golden State Warriors",105,106
2019,"final",6,"Golden State Warriors","Toronto Raptors",110,114
2019,"third",1,"Milwaukee Bucks","Toronto Raptors",108,100
2019,"third",2,"Milwaukee Bucks","Toronto Raptors",125,103
2019,"third",3,"Toronto Raptors","Milwaukee Bucks",118,112
2019,"third",4,"Toronto Raptors","Milwaukee Bucks",120,102
2019,"third",5,"Milwaukee Bucks","Toronto Raptors",99,105
2019,"third",6,"Toronto Raptors","Milwaukee Bucks",100,94
2019,"third",1,"Golden State Warriors","Portland Trail Blazers",116,94
2019,"third",2,"Golden State Warriors","Portland Trail Blazers",114,111
2019,"third",3,"Portland Trail Blazers","Golden State Warriors",99,110
2019,"third",4,"Portland Trail Blazers","Golden State Warriors",117,119
2019,"second",1,"Milwaukee Bucks","Boston Celtics",90,112
2019,"second",2,"Milwaukee Bucks","Boston Celtics",123,102
2019,"second",3,"Boston Celtics","Milwaukee Bucks",116,123
2019,"second",4,"Boston Celtics","Milwaukee Bucks",101,113
2019,"second",5,"Milwaukee Bucks","Boston Celtics",116,91
2019,"second",1,"Toronto Raptors","Philadelphia 76ers",108,95
2019,"second",2,"Toronto Raptors","Philadelphia 76ers",89,94
2019,"second",3,"Philadelphia 76ers","Toronto Raptors",116,95
2019,"second",4,"Philadelphia 76ers","Toronto Raptors",96,101
2019,"second",5,"Toronto Raptors","Philadelphia 76ers",125,89
2019,"second",6,"Philadelphia 76ers","Toronto Raptors",112,101
2019,"second",7,"Toronto Raptors","Philadelphia 76ers",92,90
2019,"second",1,"Golden State Warriors","Houston Rockets",104,100
2019,"second",2,"Golden State Warriors","Houston Rockets",115,109
2019,"second",3,"Houston Rockets","Golden State Warriors",126,121
2019,"second",4,"Houston Rockets","Golden State Warriors",112,108
2019,"second",5,"Golden State Warriors","Houston Rockets",104,99
2019,"second",6,"Houston Rockets","Golden State Warriors",113,118
2019,"second",1,"Denver Nuggets","Portland Trail Blazers",121,113
2019,"second",2,"Denver Nuggets","Portland Trail Blazers",90,97
2019,"second",3,"Portland Trail Blazers","Denver Nuggets",140,137
2019,"second",4,"Portland Trail Blazers","Denver Nuggets",112,116
2019,"second",5,"Denver Nuggets","Portland Trail Blazers",124,98
2019,"second",6,"Portland Trail Blazers","Denver Nuggets",119,108
2019,"second",7,"Denver Nuggets","Portland Trail Blazers",96,100
2019,"first",1,"Boston Celtics","Indiana Pacers",84,74
2019,"first",2,"Boston Celtics","Indiana Pacers",99,91
2019,"first",3,"Indiana Pacers","Boston Celtics",96,104
2019,"first",4,"Indiana Pacers","Boston Celtics",106,110
2019,"first",1,"Milwaukee Bucks","Detroit Pistons",121,86
2019,"first",2,"Milwaukee Bucks","Detroit Pistons",120,99
2019,"first",3,"Detroit Pistons","Milwaukee Bucks",103,119
2019,"first",4,"Detroit Pistons","Milwaukee Bucks",104,127
2019,"first",1,"Philadelphia 76ers","Brooklyn Nets",102,111
2019,"first",2,"Philadelphia 76ers","Brooklyn Nets",145,123
2019,"first",3,"Brooklyn Nets","Philadelphia 76ers",115,131
2019,"first",4,"Brooklyn Nets","Philadelphia 76ers",108,112
2019,"first",5,"Philadelphia 76ers","Brooklyn Nets",122,100
2019,"first",1,"Toronto Raptors","Orlando Magic",101,104
2019,"first",2,"Toronto Raptors","Orlando Magic",111,82
2019,"first",3,"Orlando Magic","Toronto Raptors",93,98
2019,"first",4,"Orlando Magic","Toronto Raptors",85,107
2019,"first",5,"Toronto Raptors","Orlando Magic",115,96
2019,"first",1,"Denver Nuggets","San Antonio Spurs",96,101
2019,"first",2,"Denver Nuggets","San Antonio Spurs",114,105
2019,"first",3,"San Antonio Spurs","Denver Nuggets",118,108
2019,"first",4,"San Antonio Spurs","Denver Nuggets",103,117
2019,"first",5,"Denver Nuggets","San Antonio Spurs",108,90
2019,"first",6,"San Antonio Spurs","Denver Nuggets",120,103
2019,"first",7,"Denver Nuggets","San Antonio Spurs",90,86
2019,"first",1,"Golden State Warriors","Los Angeles Clippers",121,104
2019,"first",2,"Golden State Warriors","Los Angeles Clippers",131,135
2019,"first",3,"Los Angeles Clippers","Golden State Warriors",105,132
2019,"first",4,"Los Angeles Clippers","Golden State Warriors",105,113
2019,"first",5,"Golden State Warriors","Los Angeles Clippers",121,129
2019,"first",6,"Los Angeles Clippers","Golden State Warriors",110,129
2019,"first",1,"Houston Rockets","Utah Jazz",122,90
2019,"first",2,"Houston Rockets","Utah Jazz",118,98
2019,"first",3,"Utah Jazz","Houston Rockets",101,104
2019,"first",4,"Utah Jazz","Houston Rockets",107,91
2019,"first",5,"Houston Rockets","Utah Jazz",100,93
2019,"first",1,"Portland Trail Blazers","Oklahoma City Thunder",104,99
2019,"first",2,"Portland Trail Blazers","Oklahoma City Thunder",114,94
2019,"first",3,"Oklahoma City Thunder","Portland Trail Blazers",120,108
2019,"first",4,"Oklahoma City Thunder","Portland Trail Blazers",98,111
2019,"first",5,"Portland Trail Blazers","Oklahoma City Thunder",118,115
2018,"final",1,"Golden State Warriors","Cleveland Cavaliers",124,114
2018,"final",2,"Golden State Warriors","Cleveland Cavaliers",122,103
2018,"final",3,"Cleveland Cavaliers","Golden State Warriors",102,110
2018,"final",4,"Cleveland Cavaliers","Golden State Warriors",85,108
